Signature,histone,pvalue_twosided,pvalue_greater,pvalue_lower
SBS18,H2BK120ac,0.376459497820036,0.817269142494802,0.188229748910018
SBS19,H2BK120ac,0.192517572436471,0.096258786218236,0.922434215636443
SBS20,H2BK120ac,0.168166829372509,0.928815908648742,0.084083414686255
SBS21,H2BK120ac,0.059058229090537,0.029529114545268,0.984514284174577
SBS22,H2BK120ac,0.258894436874602,0.129447218437301,0.873082308496557
SBS23,H2BK120ac,0.589638551626567,0.79075388327659,0.294819275813283
SBS24,H2BK120ac,NA,1,1
SBS25,H2BK120ac,NA,1,1
SBS26,H2BK120ac,0.812703686128436,0.406351843064218,0.638858518641904
SBS27,H2BK120ac,NA,1,1
SBS28,H2BK120ac,0.47699540097961,0.238497700489805,0.769299340737412
SBS29,H2BK120ac,1,0.814453315238651,0.5
SBS30,H2BK120ac,0.394879483319597,0.807713337514666,0.197439741659798
SBS31,H2BK120ac,NA,1,1
SBS32,H2BK120ac,1,0.977249868051821,0.5
SBS33,H2BK120ac,0.371093369522698,0.963180864939849,0.185546684761349
SBS34,H2BK120ac,0.393964540268519,0.808408427718133,0.19698227013426
SBS35,H2BK120ac,0.486959423534473,0.243479711767236,0.76727759879886
SBS36,H2BK120ac,0.111650797099031,0.055825398549515,0.947735486886517
SBS37,H2BK120ac,0.404927546809397,0.80301772986574,0.202463773404698
SBS38,H2BK120ac,0.222041366726258,0.111020683363129,0.89936014682215
SBS39,H2BK120ac,1,0.533676680517062,0.533676680517062
SBS40,H2BK120ac,0.011970404397997,0.99403347968644,0.005985202198998
SBS41,H2BK120ac,0.758282255981869,0.627346564291795,0.379141127990934
SBS42,H2BK120ac,NA,1,1
SBS43,H2BK120ac,NA,1,1
SBS44,H2BK120ac,0.169810505085521,0.084905252542761,0.9266461789669
SBS45,H2BK120ac,NA,1,1
SBS46,H2BK120ac,NA,1,1
SBS47,H2BK120ac,NA,1,1
SBS48,H2BK120ac,NA,1,1
SBS49,H2BK120ac,NA,1,1
SBS50,H2BK120ac,NA,1,1
SBS51,H2BK120ac,1,0.977249868051821,0.5
SBS52,H2BK120ac,1,0.533676680517062,0.533676680517062
SBS53,H2BK120ac,NA,1,1
SBS54,H2BK120ac,NA,1,1
SBS55,H2BK120ac,NA,1,1
SBS56,H2BK120ac,0.088348987340566,0.960070945799554,0.044174493670283
SBS57,H2BK120ac,NA,1,1
SBS58,H2BK120ac,0.105513715289701,0.953080680482945,0.052756857644851
SBS59,H2BK120ac,NA,1,1
SBS60,H2BK120ac,0.964541384555568,0.482270692277784,0.553048139092139
SBS84,H2BK120ac,NA,1,1
SBS85,H2BK120ac,NA,1,1
SBS86,H2BK120ac,NA,1,1
SBS87,H2BK120ac,NA,1,1
SBS88,H2BK120ac,NA,1,1
SBS89,H2BK120ac,NA,1,1
SBS90,H2BK120ac,NA,1,1
Unknown,H2BK120ac,5.75035787373713E-13,2.87517893686857E-13,0.999999999999714
SBS1,H2BK12ac,0.09142363474026,0.954386295762719,0.04571181737013
SBS2,H2BK12ac,0.002705942106841,0.001352971053421,0.998657676488315
SBS3,H2BK12ac,0.646884857584259,0.678956058833071,0.323442428792129
SBS4,H2BK12ac,0.455638965230523,0.227819482615261,0.775173720851749
SBS5,H2BK12ac,7.8082712593501E-07,3.90413562967505E-07,0.999999611332119
SBS6,H2BK12ac,0.033484518029999,0.984056395953477,0.016742259014999
SBS7a,H2BK12ac,0.02800781669697,0.988087926991741,0.014003908348485
SBS7b,H2BK12ac,0.893903721815722,0.446951860907861,0.587950915877011
SBS7c,H2BK12ac,0.401678166469773,0.852746303159945,0.200839083234886
SBS7d,H2BK12ac,0.726286148878805,0.687967733767415,0.363143074439402
SBS8,H2BK12ac,0.616817628679429,0.692960502917054,0.308408814339715
SBS9,H2BK12ac,0.274004111875618,0.867057059281059,0.137002055937809
SBS10a,H2BK12ac,1,0.517368587706755,0.5
SBS10b,H2BK12ac,0.020658377241239,0.991635649805148,0.01032918862062
SBS11,H2BK12ac,NA,1,1
